id,title,url,publisher,scope,notes,accessed
FIAT_TECH,Fiat Grande Panda Hybrid — dane techniczne,https://www.fiat.pl/modele/grande-panda-hybryda/dane-techniczne,Fiat,Fiat:official-current-model,Wymiary i pojemność bagażnika.,2026-08-17
FIAT_PRESS,Grande Panda — rodzina układów napędowych,https://www.media.stellantis.com/pl-pl/fiat/press/trzy-uklady-napedowe-jedna-ikona-fiat-wprowadza-model-grande-panda-z-silnikiem-benzynowym-ktory-dolacza-do-wersji-z-napedem-hybrydowym-i-elektrycznym,Fiat/Stellantis,Fiat/Stellantis:official-press,Opis układu hybrydowego 48 V i skrzyni eDCT.,2026-08-17
FIAT_HYBRID_PRESS,Fiat Grande Panda Hybrid — materiał techniczny,https://www.media.stellantis.com/gr-el/fiat/press/neo-fiat-grande-panda-hybrid-o-exilektrismos-pou-kani-ti-diafora-sto-b-segment,Fiat/Stellantis,Fiat/Stellantis:official-press-other-market,"Osiągi, moment obrotowy i homologacyjne zużycie; dane ogólnomodelowe, nie konfiguracja dealera.",2026-08-17
FIAT_WARRANTY,Fiat — warunki gwarancji,https://www.fiat.pl/mopar/gwarancja,Fiat,Fiat:official-warranty,Ogólne warunki gwarancji dla nowych samochodów Fiat.,2026-08-17
FIAT_MEDIA,Fiat Grande Panda Hybrid — oficjalna galeria,https://www.media.stellantis.com/de-de/fiat/fiat-grande-panda-hybrid,Fiat/Stellantis,Fiat/Stellantis:official-media-gallery,Zdjęcia poglądowe; mogą przedstawiać inną wersję i rynek.,2026-08-17
VW_TCROSS_PRICE,"Volkswagen T-Cross — aktualny cennik, wyposażenie i dane",https://cenniki.volkswagen.pl/T-Cross.html,Volkswagen,Volkswagen:official-current-model,Rok modelowy 2027 / produkcja 2026; konfiguracje i wyposażenie rynku polskiego.,2026-08-17
VW_TCROSS_MEDIA,Volkswagen T-Cross — oficjalny album prasowy,https://www.volkswagen-newsroom.com/de/bilder/alben/t-cross-6688,Volkswagen,Volkswagen:official-media-gallery,"Zdjęcia poglądowe, nie konkretne auto z oferty.",2026-08-17
PEUGEOT_208_FAQ,Peugeot 208 — FAQ i wymiary,https://www.peugeot.pl/modele/nowy-peugeot-208/faq.html,Peugeot,Peugeot:official-current-model,Pojemność bagażnika i dane ogólnomodelowe.,2026-08-17
PEUGEOT_208_STOCK,Peugeot 208 Business Hybrid 110 e-DCS6 — oficjalny sklep,https://sklep.peugeot.pl/produkt/208/vr3uphpx0t5045881/,Peugeot,Peugeot:official-stock-comparable-vehicle,Porównywalny wariant napędowy; nie VIN z oferty użytkownika.,2026-08-17
PEUGEOT_2008_MODEL,Peugeot 2008 — oficjalna strona modelu,https://www.peugeot.pl/modele/nowy-peugeot-2008/petrol-hybrid.html,Peugeot,Peugeot:official-current-model,Wymiary i pojemność bagażnika obecnej gamy.,2026-08-17
PEUGEOT_PRICES,Peugeot — oficjalne cenniki i specyfikacje,https://www.peugeot.pl/tools/cenniki-peugeot.html,Peugeot,Peugeot:official-download-index,Punkt wejścia do aktualnych cenników i broszur.,2026-08-17
PEUGEOT_2008_MEDIA,Peugeot 2008 — oficjalna galeria produktowa,https://www.media.stellantis.com/cz-cs/peugeot/press/produktove-foto-peugeot-2008,Peugeot/Stellantis,Peugeot/Stellantis:official-media-gallery,Zdjęcia do użytku prasowego/poglądowego; nie są kopią konkretnego egzemplarza.,2026-08-17
HYUNDAI_I20_FEATURES,Hyundai i20 — wyposażenie i osiągi MY/PY 2026,https://www.hyundai.com/pl/pl/modele/nowy-i20/wyposazenie.html,Hyundai,Hyundai:official-current-model-pl,Dane 1.0 T-GDI 90 KM 7DCT dla rynku polskiego.,2026-08-17
HYUNDAI_I20_DESIGN,Hyundai i20 — design i wymiary,https://www.hyundai.com/pl/pl/modele/nowy-i20/design.html,Hyundai,Hyundai:official-current-model-pl,Wymiary i materiały poglądowe.,2026-08-17
HYUNDAI_I20_MEDIA,Hyundai i20 — oficjalna galeria zdjęć,https://www.hyundai.news/pl/modele/osobowe/i20/zdjecia.html,Hyundai,Hyundai:official-media-gallery,Zdjęcia poglądowe; część materiałów może pokazywać wcześniejszy rok modelowy.,2026-08-17
HYUNDAI_BAYON_MODEL,Hyundai Bayon — oficjalna strona modelu,https://www.hyundai.com/pl/pl/modele/nowy-bayon.html,Hyundai,Hyundai:official-current-model-pl,Aktualna gama rynku polskiego.,2026-08-17
HYUNDAI_BAYON_DESIGN,"Hyundai Bayon — design, wymiary i bagażnik",https://www.hyundai.com/pl/pl/modele/nowy-bayon/design.html,Hyundai,Hyundai:official-current-model-pl,Wymiary i pojemność bagażnika.,2026-08-17
HYUNDAI_BAYON_FEATURES,Hyundai Bayon — wyposażenie,https://www.hyundai.com/pl/pl/modele/nowy-bayon/features.html,Hyundai,Hyundai:official-current-model-pl,Wyposażenie i zdjęcia poglądowe.,2026-08-17
