vehicle_id,make,model,label,url,scope,downloaded,notes
fiat-grande-panda-hybrid-la-prima,Fiat,Grande Panda,widok zewnętrzny / jazda,https://stellantis3.dam-broadcast.com/medias/domain12808/media108936/2680846-iqmf7uo58c-whr.jpg,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
volkswagen-t-cross-life-plus-116-dsg,Volkswagen,T-Cross,przód / jazda,https://uploads.vw-mms.de/system/production/images/vwn/079/456/images/2db0787da05557834c3fb08af01d4b22d5562d11/DB2023AU00622_web_1600.jpg?1717575978=,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
volkswagen-t-cross-life-plus-116-dsg,Volkswagen,T-Cross,widok zewnętrzny,https://uploads.vw-mms.de/system/production/images/vwn/079/465/images/d93e4e7d7fa9166d4613d4128f4b04352cee6704/DB2023AU00631_web_1600.jpg?1717576001=,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
volkswagen-t-cross-life-plus-116-dsg,Volkswagen,T-Cross,wnętrze,https://uploads.vw-mms.de/system/production/images/vwn/079/471/images/cde6bcdd87abc28ee5dd9074e68351c4a7d48c5f/DB2023AU00637_web_1600.jpg?1717576202=,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-inster-49kwh-pure,Hyundai,Inster,zewnętrzny 1,https://dmassets.hyundai.com/is/image/hyundaiautoever/hyundai-inster-premiere-exterior-04-1%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-inster-49kwh-pure,Hyundai,Inster,zewnętrzny 2,https://dmassets.hyundai.com/is/image/hyundaiautoever/hyundai-inster-premiere-exterior-04%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-inster-49kwh-pure,Hyundai,Inster,zewnętrzny 3,https://dmassets.hyundai.com/is/image/hyundaiautoever/hyundai-inster-premiere-exterior-03%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-bayon-modern-90-7dct,Hyundai,Bayon,zewnętrzny 1,https://dmassets.hyundai.com/is/image/hyundaiautoever/hyundai-new-bayon-0124-01%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-bayon-modern-90-7dct,Hyundai,Bayon,zewnętrzny 2,https://dmassets.hyundai.com/is/image/hyundaiautoever/hyundai-new-bayon-0124-02%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-bayon-modern-90-7dct,Hyundai,Bayon,zewnętrzny 3,https://dmassets.hyundai.com/is/image/hyundaiautoever/hyundai-new-bayon-0124-05%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-i20-modern-90-7dct,Hyundai,i20,zewnętrzny 1,https://s7g10.scene7.com/is/image/hyundaiautoever/hyundai-all-new-i20-0220-01%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative-older-media,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-i20-modern-90-7dct,Hyundai,i20,zewnętrzny 2,https://s7g10.scene7.com/is/image/hyundaiautoever/hyundai-all-new-i20-0220-02%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative-older-media,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
hyundai-i20-modern-90-7dct,Hyundai,i20,wnętrze / detal,https://s7g10.scene7.com/is/image/hyundaiautoever/hyundai-all-new-i20-0220-03%3AImage%20Video%20Collection%20Item%20Mobile?hei=441&wid=663,official-illustrative-older-media,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
skoda-fabia-drive-115-dsg,Škoda,Fabia,zewnętrzny,https://www.skoda-storyboard.com/direct-download/2024/08/4.-generace-07_SKODA_FABIA_ML_Graphite_Grey_918733f4.jpg,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
skoda-kamiq-drive-115-dsg,Škoda,Kamiq,zewnętrzny,https://www.skoda-storyboard.com/direct-download/2024/02/29_Skoda_Kamiq_d786b450.jpg,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
toyota-yaris-style-hybrid-116,Toyota,Yaris,Yaris — oficjalne zdjęcie poglądowe,https://client.presspage.com/download/20032c9c-e184-4a4c-9a43-a234dbd3a4d3/2024-yaris-dpl-ext-combo-high0010.jpg,official-illustrative,False,Zewnętrzny oficjalny obraz poglądowy; wymaga połączenia z internetem.
