offer_id,vehicle_id,make,model,trim,offer_label,price_pln,catalog_price_pln,discount_pln,production_year,model_year,exterior,interior,wheels,fuel,power_hp,power_kw,torque_nm,gearbox,zero_to_100_s,max_speed_kmh,consumption_wltp_l_100km,co2_wltp_g_km,electric_consumption_kwh_100km,range_wltp_km,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,turning_circle_m,boot_l,boot_max_l,tank_l,towing_braked_kg,towing_unbraked_kg,source_file,configuration_id,vin,notes
fiat-152036209,fiat-grande-panda-hybrid-la-prima,Fiat,Grande Panda,La Prima,La Prima — Żółty Limone,90212,100800,10588,2026,,Żółty Limone metalizowany (507),La Prima materiałowa (192),"aluminiowe 17""",benzyna + mild hybrid 48 V,110,81,205,"6-biegowa eDCT, dwusprzęgłowa",10.0,,5.1,116,,,3999,,1586,,,,412,,,,,01-grande-panda-hybrid-la-prima.md,152036209,,
vw-gov-26-286981,volkswagen-t-cross-life-plus-116-dsg,Volkswagen,T-Cross,Life Plus,Life Plus — Srebrny Reflex,129290,,,2026,2027,Srebrny Reflex metalizowany,szary melanż / czarny,"Bangalore 17""",benzyna,116,85,200,7-biegowa DSG,10.3,192,5.8,132,,,4127–4135,1760–1784,1573,2551,,10.7,455,1281,40,1100,640,02-gov-26-286981.md,GOV-26-286981,,
peugeot-189220,peugeot-2008-edition-hybrid-110,Peugeot,2008,Edition,2008 Edition Hybrid 110,108400,108400,0,2026,,Niebieski Obsession,Tapicerka Renzo,brak precyzyjnego opisu w tekście oferty,benzyna + hybryda 48 V,110,81,,6-biegowa e-DCS6,,,4.9,111,,,4300,1770,1550,2605,,,434,1467,44,,,04-oferta-2008-pan-krzysztof-krawczynski.md,189220,VR3USHPX6TJ753669,
peugeot-189219,peugeot-208-business-hybrid-110,Peugeot,208,Business,208 Business Hybrid 110,87500,97100,9600,2026,,Żółty Agueda,Tapicerka Renzo,brak precyzyjnego opisu w tekście oferty,benzyna + hybryda 48 V,110,81,,6-biegowa e-DCS6,,193,4.5,102,,,4055,1745,1465,2540,,,352,1163,44,1200,645,05-oferta-208-pan-krzysztof-krawczynski.md,189219,,
hyundai-26095544,hyundai-inster-49kwh-pure,Hyundai,Inster,Pure,Inster 49 kWh Pure,123300,123300,0,2025,,Sienna Orange Metallic,tapicerka ciemna,"stalowe 15"" z kołpakami",energia elektryczna,115,84.5,,jednobiegowa / automatyczna,10.6,150,,,15.3,370,3825,1610,1575,2580,,,238–351 / 280–351 zależnie od źródła i położenia siedzeń,1059,,,,09-ha0520260814121921-00000026095544-1.md,26095544,,
hyundai-26095581,hyundai-bayon-modern-90-7dct,Hyundai,Bayon,Modern + Comfort,Bayon Modern 90 7DCT,103600,103600,0,2026,2026,Lucid Lime Metallic,Black,"aluminiowe 16""",benzyna,90,66,172,7DCT,13.3,172,5.8,131–132,,,4180,1775,1490–1500,2580,,10.4–10.6,411,1205,40,910,450,10-ha0520260814124843-00000026095581.md,26095581,,
hyundai-26095574,hyundai-i20-modern-90-7dct,Hyundai,i20,Modern + Comfort,i20 Modern 90 7DCT,99900,99900,0,2026,2026,Lucid Lime Metallic,Black,"aluminiowe 16""",benzyna,90,66,172,7DCT,12.8,179,5.3–5.8,126–139,,,4065,1775,1450,2570,140,10.4,352,1165,,1110,,11-ha0520260814124132-00000026095574.md,26095574,,
skoda-fabia-green,skoda-fabia-drive-115-dsg,Škoda,Fabia,Drive,Drive — Zieleń Timiano,91350,100150,8800,2026,2026,Zieleń Timiano niemetalizowany,Loft,"Rotare 15""",benzyna,115,85,200,7-biegowa DSG,9.7,202,5.2,119,,,4108,1780,1482,2552,,9.9,380,1190,,1100,590,12-skoda-fabia-poz-3.md,TMBER6PJ5T4088196,,"Dodatki: pełnowymiarowe koło, podgrzewana kierownica, Winter Basic."
skoda-fabia-blue,skoda-fabia-drive-115-dsg,Škoda,Fabia,Drive,Drive — Błękit Race,101550,101550,0,2027,2027,Błękit Race metalizowany,Loft,"Rotare 15""",benzyna,115,85,200,7-biegowa DSG,9.7,202,5.2,119,,,4108,1780,1482,2552,,9.9,380,1190,,1100,590,14-skoda-fabia-92-700-poz-2.md,CKL9JCZW,,Dodatki: Side Assist i Climatronic.
skoda-kamiq-silver,skoda-kamiq-drive-115-dsg,Škoda,Kamiq,Drive,Drive — Srebrny Smokey,108800,121150,12350,2026,2027,Srebrny Smokey Diamond metalizowany,Loft z szarą podsufitką,"Sargas Aero 16""",benzyna,115,85,200,7-biegowa DSG,10.2,195,5.6,126,,,4241,1793,1559,2639,,10.1,400,1395,50,,,13-skoda-kamiq-poz-3.md,GOC-26-376491,TMBGR6NW7V3052025,
toyota-022777,toyota-yaris-style-hybrid-116,Toyota,Yaris,Style,Yaris Style Hybrid 116 — Forest Green,107920,112900,4980,2026,2026,"Forest Green (6X7) — nazwa z pliku, dostępność koloru potwierdzona w konfiguratorze",Style — brak pełnego kodu tapicerki w ofercie finansowej,brak danych w ofercie finansowej,benzyna + pełna hybryda,116,85,120,e-CVT / bezstopniowa automatyczna,9.7,175,3.8–4.4,87–99,,,3940,1745,1500,2560,135,9.8,286 lub 296,,36,,,18-toyota-yaris-forest-green-wersja-style.md,022777,,
