offer_id,vehicle_id,make,model,trim,offer_label,price_pln,catalog_price_pln,discount_pln,production_year,model_year,exterior,interior,wheels,fuel,power_hp,power_kw,torque_nm,gearbox,zero_to_100_s,max_speed_kmh,consumption_wltp_l_100km,co2_wltp_g_km,electric_consumption_kwh_100km,range_wltp_km,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,turning_circle_m,boot_l,boot_max_l,tank_l,towing_braked_kg,towing_unbraked_kg,source_file,configuration_id,vin,notes
fiat-grande-panda-hybrid-la-prima-sample-01,fiat-grande-panda-hybrid-la-prima,Fiat,Grande Panda,La Prima,La Prima — Żółty Limone,90212,100800,10588,2026,,Żółty Limone metalizowany (507),La Prima materiałowa (192),"aluminiowe 17""",benzyna + mild hybrid 48 V,110,81,205,"6-biegowa eDCT, dwusprzęgłowa",10.0,,5.1,116,,,3999,,1586,,,,412,,,,,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
volkswagen-t-cross-life-plus-116-dsg-sample-01,volkswagen-t-cross-life-plus-116-dsg,Volkswagen,T-Cross,Life Plus,Life Plus — Srebrny Reflex,129290,,,2026,2027,Srebrny Reflex metalizowany,szary melanż / czarny,"Bangalore 17""",benzyna,116,85,200,7-biegowa DSG,10.3,192,5.8,132,,,4127–4135,1760–1784,1573,2551,,10.7,455,1281,40,1100,640,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
peugeot-2008-edition-hybrid-110-sample-01,peugeot-2008-edition-hybrid-110,Peugeot,2008,Edition,2008 Edition Hybrid 110,108400,108400,0,2026,,Niebieski Obsession,Tapicerka Renzo,brak precyzyjnego opisu w tekście oferty,benzyna + hybryda 48 V,110,81,,6-biegowa e-DCS6,,,4.9,111,,,4300,1770,1550,2605,,,434,1467,44,,,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
peugeot-208-business-hybrid-110-sample-01,peugeot-208-business-hybrid-110,Peugeot,208,Business,208 Business Hybrid 110,87500,97100,9600,2026,,Żółty Agueda,Tapicerka Renzo,brak precyzyjnego opisu w tekście oferty,benzyna + hybryda 48 V,110,81,,6-biegowa e-DCS6,,193,4.5,102,,,4055,1745,1465,2540,,,352,1163,44,1200,645,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
hyundai-inster-49kwh-pure-sample-01,hyundai-inster-49kwh-pure,Hyundai,Inster,Pure,Inster 49 kWh Pure,123300,123300,0,2025,,Sienna Orange Metallic,tapicerka ciemna,"stalowe 15"" z kołpakami",energia elektryczna,115,84.5,,jednobiegowa / automatyczna,10.6,150,,,15.3,370,3825,1610,1575,2580,,,238–351 / 280–351 zależnie od źródła i położenia siedzeń,1059,,,,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
hyundai-bayon-modern-90-7dct-sample-01,hyundai-bayon-modern-90-7dct,Hyundai,Bayon,Modern + Comfort,Bayon Modern 90 7DCT,103600,103600,0,2026,2026,Lucid Lime Metallic,Black,"aluminiowe 16""",benzyna,90,66,172,7DCT,13.3,172,5.8,131–132,,,4180,1775,1490–1500,2580,,10.4–10.6,411,1205,40,910,450,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
hyundai-i20-modern-90-7dct-sample-01,hyundai-i20-modern-90-7dct,Hyundai,i20,Modern + Comfort,i20 Modern 90 7DCT,99900,99900,0,2026,2026,Lucid Lime Metallic,Black,"aluminiowe 16""",benzyna,90,66,172,7DCT,12.8,179,5.3–5.8,126–139,,,4065,1775,1450,2570,140,10.4,352,1165,,1110,,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
skoda-fabia-drive-115-dsg-sample-01,skoda-fabia-drive-115-dsg,Škoda,Fabia,Drive,Drive — Zieleń Timiano,91350,100150,8800,2026,2026,Zieleń Timiano niemetalizowany,Loft,"Rotare 15""",benzyna,115,85,200,7-biegowa DSG,9.7,202,5.2,119,,,4108,1780,1482,2552,,9.9,380,1190,,1100,590,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
skoda-fabia-drive-115-dsg-sample-02,skoda-fabia-drive-115-dsg,Škoda,Fabia,Drive,Drive — Błękit Race,101550,101550,0,2027,2027,Błękit Race metalizowany,Loft,"Rotare 15""",benzyna,115,85,200,7-biegowa DSG,9.7,202,5.2,119,,,4108,1780,1482,2552,,9.9,380,1190,,1100,590,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
skoda-kamiq-drive-115-dsg-sample-01,skoda-kamiq-drive-115-dsg,Škoda,Kamiq,Drive,Drive — Srebrny Smokey,108800,121150,12350,2026,2027,Srebrny Smokey Diamond metalizowany,Loft z szarą podsufitką,"Sargas Aero 16""",benzyna,115,85,200,7-biegowa DSG,10.2,195,5.6,126,,,4241,1793,1559,2639,,10.1,400,1395,50,,,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
toyota-yaris-style-hybrid-116-sample-01,toyota-yaris-style-hybrid-116,Toyota,Yaris,Style,Yaris Style Hybrid 116 — Forest Green,107920,112900,4980,2026,2026,"Forest Green (6X7) — nazwa z pliku, dostępność koloru potwierdzona w konfiguratorze",Style — brak pełnego kodu tapicerki w ofercie finansowej,brak danych w ofercie finansowej,benzyna + pełna hybryda,116,85,120,e-CVT / bezstopniowa automatyczna,9.7,175,3.8–4.4,87–99,,,3940,1745,1500,2560,135,9.8,286 lub 296,,36,,,REDACTED_SOURCE.md,,,"Wersja do testów/kodu bez VIN, identyfikatorów oferty i nazw plików zawierających dane osobowe."
